"UserID","Version","SessionDuration","SearchClicked","RemoveClicked","ApplyFiltersClicked","ResetDataClicked","TabSwitch_RawTable","TabSwitch_RawTrend","TabSwitch_FilteredTable","TabSwitch_FilteredTrend","Scrolled_RawTable","Scrolled_RawTrend","Scrolled_FilteredTable","Scrolled_FilteredTrend","Interactions","SearchLoadingTime","ErrorOccurred"
"V1_User_16","V1",46.9806981736462,0,0,1,1,1,0,1,0,0,0,1,1,5,16.0949796658267,0
"V1_User_17","V1",63.2271188808428,1,1,1,1,1,0,1,0,0,0,0,0,4,10.8130772045203,0
"V1_User_18","V1",70.3773815902514,1,0,1,1,0,1,1,1,1,1,0,1,5,13.4123508892999,0
"V1_User_19","V1",57.1394842543849,1,0,1,0,1,0,0,1,1,1,0,1,5,12.5690921570318,0
"V1_User_20","V1",59.9713313310346,1,1,0,1,0,0,1,1,1,0,1,1,3,5.38545810276373,1
"V1_User_21","V1",74.6980763085965,0,0,0,1,1,1,1,0,1,1,1,0,3,9.00335131068514,0
"V1_User_22","V1",68.2178419748503,1,1,0,0,1,1,1,1,1,1,0,1,2,9.88158361433038,0
"V1_User_23","V1",53.0005920320756,0,1,1,0,1,1,0,1,0,0,1,1,4,6.22410840403697,1
"V1_User_24","V1",70.919947190716,0,0,1,1,0,1,0,1,1,1,0,1,3,16.2231923859201,0
"V1_User_25","V1",66.6894949035915,1,0,1,1,1,1,0,1,1,1,1,1,5,6.77568553209486,0
"V1_User_26","V1",49.9077462264067,1,0,1,0,1,1,1,1,1,1,1,1,1,10.9974349623573,0
"V1_User_27","V1",68.5960678315431,0,0,1,0,1,1,1,1,1,1,0,0,5,10.0313110113762,1
"V1_User_28","V1",58.0084970652294,0,0,0,0,1,1,1,1,1,1,1,1,3,9.78463608475327,0
"V1_User_29","V1",47.4229578874054,0,1,0,1,0,1,0,0,1,1,1,0,3,10.2352689901067,0
"V1_User_30","V1",59.82115017562,1,0,0,0,0,1,1,1,1,1,0,1,0,10.1454271456972,0
"V1_User_31","V1",75.1248778550371,1,1,1,0,1,1,1,0,0,1,1,1,3,7.7698287125298,0
"V1_User_32","V1",52.5401072761489,1,0,1,0,1,1,1,1,1,0,0,1,5,8.05666311992393,1
"V1_User_33","V1",39.1700722315337,1,0,0,1,1,1,1,1,1,1,1,1,5,10.6935578039804,0
"V1_User_34","V1",63.606816995401,1,1,0,0,1,0,1,0,1,1,0,0,5,13.3755447350477,1
"V1_User_35","V1",63.2138128989936,0,0,1,1,0,1,1,1,0,0,1,1,4,10.1631507308247,0
"V1_User_36","V1",68.2338490399834,0,0,1,0,1,1,1,1,0,0,1,1,3,8.43671852735496,1
"V1_User_37","V1",39.4554147959277,1,0,1,0,1,1,1,1,1,1,1,1,8,11.8685391334667,0
"V1_User_38","V1",48.8187891744728,1,0,1,0,1,1,0,1,0,1,0,1,5,9.19923646369596,1
"V1_User_39","V1",72.4229571192799,0,0,0,1,1,1,1,1,1,0,0,1,3,10.8242042579845,0
"V1_User_40","V1",38.2592552216429,0,0,0,1,1,1,1,1,1,0,0,0,3,10.5443419042652,0
"V1_User_41","V1",48.9442813663579,1,0,1,0,0,0,1,1,0,1,1,1,4,6.97115383322347,0
"V1_User_42","V1",58.2997710011956,0,0,0,0,1,1,0,0,1,1,1,1,6,11.7856281406035,1
"V1_User_43","V1",78.9237239871155,1,1,0,1,1,1,1,1,1,1,1,1,3,8.92903145928938,0
"V1_User_44","V1",79.8642459679637,0,1,1,0,1,1,0,1,1,0,0,1,7,6.27935195353102,1
"V1_User_45","V1",67.7699441303908,1,0,0,0,1,1,0,1,1,1,0,1,6,6.89056989402726,0
"V1_User_46","V1",47.7650610559132,1,0,1,0,1,0,0,1,1,1,1,0,5,15.249018247314,0
"V1_User_47","V1",58.1778200038277,1,1,1,0,1,0,0,0,1,1,0,1,5,7.61982141440915,0
"V1_User_48","V1",50.5857004275464,1,1,0,1,1,0,1,0,1,0,1,1,6,15.1494966318557,1
"V1_User_49","V1",50.6131900302806,1,0,0,1,1,1,1,1,1,1,0,1,2,10.9784360659765,0
"V1_User_50","V1",38.3456014892118,1,0,0,0,1,1,1,0,1,1,1,0,3,13.8522443150318,1
"V1_User_51","V1",43.9071597714175,0,0,1,0,1,1,1,0,1,1,1,1,5,11.8004103271446,0
"V1_User_52","V1",84.5209821785501,0,1,0,1,1,0,1,0,0,0,1,0,3,7.35170987436175,0
"V1_User_53","V1",66.0644956677076,1,1,1,0,1,1,1,1,1,0,0,0,6,5.45005762195776,0
"V1_User_54","V1",47.147465678353,1,0,0,0,1,1,1,0,1,0,0,0,3,13.2781031005509,0
"V1_User_55","V1",53.2106311867584,1,1,1,0,1,1,0,1,0,1,1,1,5,9.33212733507887,1
"V1_User_56","V1",53.284240320531,1,1,0,0,1,1,0,1,1,0,0,0,7,6.34339907282645,0
"V1_User_57","V1",71.9121000582393,1,0,0,0,1,1,1,0,0,1,0,0,1,10.2040296615282,1
"V1_User_58","V1",44.9850114885106,0,0,0,0,0,0,0,0,1,1,1,1,3,11.1520553646812,0
"V1_User_59","V1",75.5236946670178,1,0,0,0,1,0,0,0,1,0,0,0,4,11.7826243057928,0
"V1_User_60","V1",65.6154421720518,1,0,1,0,1,1,0,0,0,1,1,1,2,12.9606165637777,0
"V1_User_61","V1",88.0583308006112,1,1,0,0,1,1,1,0,1,1,1,1,4,9.62253197169271,0
"V1_User_62","V1",48.1271981953201,1,1,0,1,1,1,0,0,1,1,0,1,3,6.52496732913914,0
"V1_User_63","V1",61.9740695264562,0,0,0,1,0,0,1,0,1,1,0,1,4,10.0810274373806,0
"V1_User_64","V1",75.3119996376496,1,0,0,0,1,0,0,0,1,1,0,1,4,5.87571590984703,0
"V1_User_65","V1",51.532176950212,0,0,1,1,1,1,0,1,1,1,1,1,4,10.7542542387486,0
"V1_User_66","V1",59.9002228288598,0,0,1,1,1,1,0,1,0,1,0,0,2,9.50687172083501,0
"V1_User_67","V1",61.6913294305217,0,0,0,1,1,1,1,1,1,1,0,0,0,7.72761305194996,0
"V1_User_68","V1",70.9131989521709,1,0,1,0,1,0,0,0,0,1,1,1,4,5.88889283964684,0
"V1_User_69","V1",48.4742050787348,0,0,0,0,1,1,1,0,1,0,1,1,4,5.26793339218248,0
"V1_User_70","V1",70.424473073072,0,1,1,0,0,1,1,0,1,1,1,1,2,8.88655468229086,0
"V1_User_71","V1",43.283902390993,1,0,1,1,0,1,0,1,0,0,0,1,4,14.2027776426371,0
"V1_User_72","V1",55.9578348580127,0,1,1,0,0,0,1,0,0,1,1,0,2,10.0466789574832,0
"V1_User_73","V1",80.1430212100424,1,1,0,0,0,0,0,0,1,1,0,1,1,9.0413720913652,0
"V1_User_74","V1",32.7084248817738,1,0,1,1,1,0,0,0,1,1,1,0,4,12.3726103613678,1
"V1_User_75","V1",36.0942708634903,0,0,1,1,0,1,1,1,1,1,1,1,8,11.7043888863652,0
"V1_User_76","V1",47.2500397937068,1,1,1,0,1,1,0,0,1,0,0,1,2,12.0364399656712,0
"V1_User_77","V1",71.2508250265027,1,1,0,0,1,1,1,1,1,1,1,1,5,10.9427422047457,0
"V1_User_78","V1",27.4010575979931,1,1,0,0,1,1,0,0,1,0,0,1,3,7.94035825420666,1
"V1_User_79","V1",78.6459619706871,1,0,0,0,1,1,0,1,1,1,0,1,2,8.90645608595859,1
"V1_User_80","V1",83.2203597083776,1,0,0,0,1,1,0,1,1,1,0,1,6,10.5175439777558,0
"V1_User_81","V1",36.9766048980113,1,1,1,1,1,1,1,0,1,0,1,0,5,6.25010769430351,1
"V1_User_82","V1",67.2061348947944,1,1,1,1,1,1,1,1,1,0,0,0,5,13.6278341818128,1
"V1_User_83","V1",62.6670937610255,0,0,0,0,0,1,0,1,0,0,1,0,5,11.9497458445905,0
"V1_User_84","V1",60.4063525435401,0,1,0,0,1,1,1,1,0,1,1,1,3,9.60909381889764,1
"V1_User_85","V1",85.1030719000963,1,1,0,1,1,1,0,1,1,1,1,0,5,5.93535735377909,1
"V1_User_86","V1",58.7188129791207,0,1,0,0,1,0,0,0,0,1,1,1,1,11.8717018785476,1
"V1_User_87","V1",67.3003729447457,1,1,1,0,0,1,1,1,1,1,1,0,4,7.78622133500568,0
"V1_User_88","V1",78.5033105506263,0,0,1,1,1,1,0,1,1,0,1,1,6,7.08145430555644,0
"V1_User_89","V1",83.2101196618298,1,1,0,1,1,1,1,1,1,1,1,1,0,6.45490981237136,0
"V1_User_90","V1",57.0315744670839,1,1,0,0,1,1,0,1,0,1,1,1,6,10.5944722586229,0
"V1_User_91","V1",46.5381442077405,0,0,0,0,1,0,0,0,0,1,1,0,2,12.2283367045417,0
"V1_User_92","V1",49.4450027329517,1,1,0,1,1,0,1,0,1,1,1,0,6,14.0867736669713,1
"V1_User_93","V1",46.198899399195,0,0,1,0,1,1,0,1,0,0,1,0,4,5.60700849008536,1
"V1_User_94","V1",62.0580518096817,0,1,0,1,1,1,1,1,0,0,1,1,4,9.29553519442821,0
"V1_User_95","V1",84.0948242800081,0,1,0,1,1,1,1,0,1,1,0,1,6,9.35606402061324,0
"V1_User_96","V1",28.9820841059068,1,0,1,0,1,1,1,1,1,0,1,1,6,12.9764865253384,0
"V1_User_97","V1",84.0963319725636,0,0,0,0,1,0,1,1,0,1,0,0,1,15.8652709001538,0
"V1_User_98","V1",86.7135159096772,0,1,1,0,1,1,1,1,1,1,1,0,4,10.4550608325467,0
"V1_User_99","V1",50.7992903783678,0,0,0,0,1,1,1,1,1,0,1,0,7,11.65265969231,0
"V1_User_100","V1",44.7628208546994,0,1,1,1,1,1,1,1,1,1,0,1,7,9.2573157838542,0
