"UserID","Version","SessionDuration","SearchClicked","RemoveClicked","ApplyFiltersClicked","ResetDataClicked","TabSwitch_SearchPage","TabSwitch_TableDisplay","TabSwitch_TrendsVisualization","Scrolled_TrendsVisualization","DropdownUsed_TrendsVisualization","Dropdown_IncorporationStatus","Dropdown_LiquidatedYN","Dropdown_ChargesYN","Dropdown_InsolventYN","Dropdown_VIPList","Interactions","SearchLoadingTime","ErrorOccurred"
"V2_User_16","V2",49.529209398746,1,0,1,0,1,0,1,1,0,0,0,0,0,0,2,6.29897334922967,0
"V2_User_17","V2",46.7768826120714,1,0,0,0,0,1,0,1,1,1,0,1,1,1,11,6.48808105890624,0
"V2_User_18","V2",36.1652164083679,0,0,1,0,1,1,1,1,1,0,1,1,1,1,3,9.27721584744782,0
"V2_User_19","V2",43.8279924614553,0,0,1,0,1,1,0,1,1,0,1,1,1,1,10,8.377592750203,0
"V2_User_20","V2",54.0825943693793,1,0,1,0,1,1,0,0,1,1,0,0,0,0,14,3.80131802079195,0
"V2_User_21","V2",40.1306076739517,1,1,1,1,0,1,1,1,0,0,0,0,0,0,5,7.339231256067,1
"V2_User_22","V2",39.7535177259511,0,0,0,1,1,1,1,0,0,0,0,0,0,0,8,7.41435290924409,0
"V2_User_23","V2",53.2555275182709,1,1,1,0,0,1,1,1,1,0,0,0,1,1,5,4.43458767056412,0
"V2_User_24","V2",27.0405154604743,1,1,0,0,1,1,0,0,1,1,1,1,1,1,6,9.91417348279165,0
"V2_User_25","V2",49.3232512514501,1,0,0,1,1,1,1,0,0,0,0,0,0,0,9,6.76211147715594,0
"V2_User_26","V2",33.6893709446375,1,0,1,0,1,1,1,1,1,1,0,0,0,1,4,8.57466359845966,0
"V2_User_27","V2",66.7615234568933,1,1,1,0,1,1,1,1,1,0,0,0,1,0,8,6.9687061204931,0
"V2_User_28","V2",26.7101896103909,1,1,0,0,1,1,1,1,1,0,1,0,1,1,6,10.7455721410733,0
"V2_User_29","V2",57.3447950682828,1,0,0,1,1,1,0,1,1,1,0,0,0,0,7,7.67280669004711,0
"V2_User_30","V2",49.2005705956625,1,0,1,0,1,1,1,1,0,0,0,0,0,0,5,10.2478727765326,0
"V2_User_31","V2",41.9172694899998,1,0,1,0,1,1,1,1,1,1,1,1,1,0,5,5.23992471940569,0
"V2_User_32","V2",61.5277951973301,1,1,1,1,1,1,1,0,0,0,0,0,0,0,3,6.16760594792968,0
"V2_User_33","V2",47.5732161606417,1,1,0,1,1,1,1,1,0,0,0,0,0,0,7,6.33147407782412,0
"V2_User_34","V2",45.2527835446566,0,1,1,1,0,1,1,0,0,0,0,0,0,0,7,5.07940638156488,0
"V2_User_35","V2",52.8426439084909,1,1,1,0,1,0,1,1,0,0,0,0,0,0,9,7.57286983337376,0
"V2_User_36","V2",58.6704359276765,0,0,1,1,1,0,1,1,0,0,0,0,0,0,7,5.89162697308403,0
"V2_User_37","V2",52.6686416092219,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,7.88926939179483,0
"V2_User_38","V2",38.3065483357754,1,1,0,1,1,1,1,1,0,0,0,0,0,0,6,12.2869955495548,0
"V2_User_39","V2",33.7365040512514,1,0,1,1,1,1,1,1,1,1,1,0,1,0,6,7.88899485767756,1
"V2_User_40","V2",49.279746091646,1,0,0,1,0,1,0,1,0,0,0,0,0,0,11,11.517467581926,0
"V2_User_41","V2",46.4697383808945,1,0,1,0,1,1,1,0,1,0,0,1,1,0,5,7.10354517418138,0
"V2_User_42","V2",69.7013842415788,0,1,0,1,1,1,0,0,1,1,1,0,1,1,13,8.85320795285006,0
"V2_User_43","V2",62.7544216291382,1,1,0,0,1,1,1,0,1,1,1,1,0,1,10,8.69007146767965,0
"V2_User_44","V2",43.5183484313153,0,0,1,1,1,1,1,0,1,0,0,0,0,0,7,6.81530095988558,1
"V2_User_45","V2",38.2395443388639,1,1,0,0,0,1,1,1,0,0,0,0,0,0,6,9.68087023284114,0
"V2_User_46","V2",49.7488056892366,1,0,1,1,1,1,1,0,1,1,1,1,1,1,9,7.31180862479354,0
"V2_User_47","V2",41.1292016802115,1,1,1,0,1,0,1,0,1,0,1,0,1,0,6,9.28322509261024,0
"V2_User_48","V2",42.5110516901174,1,1,1,0,1,1,1,0,0,0,0,0,0,0,4,5.4150328396353,0
"V2_User_49","V2",76.6599511864747,1,1,1,1,1,1,0,1,1,1,0,0,1,1,9,8.83079275030435,0
"V2_User_50","V2",42.033872030399,1,0,0,1,1,1,0,0,0,0,0,0,0,0,5,7.37633350923128,0
"V2_User_51","V2",56.9243121111687,1,1,0,0,1,0,1,1,0,0,0,0,0,0,8,6.56199452903005,1
"V2_User_52","V2",44.3932601131326,1,0,0,1,1,1,1,1,1,1,1,1,0,1,7,2.60916405129366,0
"V2_User_53","V2",40.6472885704031,1,0,1,0,1,1,1,0,1,1,0,0,1,0,7,9.90190561612275,0
"V2_User_54","V2",25.9144018061097,1,1,1,0,1,1,1,0,1,0,1,1,0,1,14,9.01289700423383,0
"V2_User_55","V2",26.5758589883464,1,0,1,1,0,0,1,0,0,0,0,0,0,0,10,6.76906434199431,0
"V2_User_56","V2",43.1227537520772,1,1,1,0,1,0,0,1,1,0,1,1,1,1,7,2.8426421213749,0
"V2_User_57","V2",44.7826438450569,1,1,1,0,1,0,1,1,1,1,1,0,1,1,13,9.06687399209208,0
"V2_User_58","V2",37.3184176182404,1,1,1,0,1,1,1,0,1,1,0,1,0,0,5,4.08340693781354,0
"V2_User_59","V2",54.1789660606963,1,0,0,0,1,1,0,0,0,0,0,0,0,0,7,5.18485323649426,1
"V2_User_60","V2",46.3177396614606,1,0,1,1,1,1,1,0,0,0,0,0,0,0,3,5.79941060591093,1
"V2_User_61","V2",54.8345375190673,0,0,1,0,1,0,1,1,1,0,1,0,1,1,8,8.40334879490721,0
"V2_User_62","V2",39.3692180800511,1,1,1,1,0,0,1,1,1,1,0,0,0,0,4,7.69856518782024,0
"V2_User_63","V2",41.2355025787006,1,0,0,1,0,1,1,0,0,0,0,0,0,0,5,8.43021022779241,1
"V2_User_64","V2",46.1176417014289,1,0,1,1,1,0,1,0,1,0,0,0,0,0,5,7.39911866190655,1
"V2_User_65","V2",38.1933038140468,1,0,1,0,1,1,0,1,1,1,0,1,0,1,9,4.70085585706625,0
"V2_User_66","V2",40.3247521499595,1,1,1,0,1,0,1,1,0,0,0,0,0,0,9,9.75863389989813,0
"V2_User_67","V2",42.7692332452461,0,1,1,0,1,1,1,1,0,0,0,0,0,0,4,7.8388807259289,0
"V2_User_68","V2",62.1674424245882,1,1,1,0,0,0,1,1,1,0,0,1,1,1,6,9.96485585036757,0
"V2_User_69","V2",50.7335786484509,1,1,1,1,1,1,1,0,1,0,0,1,1,1,5,10.6873051885668,0
"V2_User_70","V2",55.1153872135224,1,1,0,0,1,0,0,0,0,0,0,0,0,0,8,9.79403384849078,0
"V2_User_71","V2",18.9805378348095,0,0,1,0,1,1,1,0,1,0,0,1,1,1,7,10.5024344873654,1
"V2_User_72","V2",31.6658934978559,1,0,0,0,1,1,1,0,1,0,0,1,1,1,12,7.76142121169157,0
"V2_User_73","V2",39.1455139607222,0,0,0,1,1,0,0,0,1,0,0,1,0,1,7,9.57586249055096,0
"V2_User_74","V2",54.0405377733814,1,0,1,1,1,1,0,1,0,0,0,0,0,0,6,7.87751127248927,0
"V2_User_75","V2",31.73444344087,1,1,1,1,1,1,0,1,1,0,1,0,1,1,10,8.7699033477585,0
"V2_User_76","V2",36.0005871655138,1,0,0,0,1,1,0,1,0,0,0,0,0,0,8,8.58371005508627,0
"V2_User_77","V2",52.4103962276705,1,0,1,0,1,1,0,0,1,1,1,1,1,1,7,8.6165502355961,0
"V2_User_78","V2",35.9585990505976,1,1,0,1,1,1,1,1,1,1,0,0,1,0,10,10.1586982152901,1
"V2_User_79","V2",14.0772197307725,1,0,1,0,1,0,1,0,1,0,0,0,1,0,9,7.7778346713586,1
"V2_User_80","V2",62.4410390591178,0,0,1,0,1,1,0,1,0,0,0,0,0,0,11,5.13375073354135,0
"V2_User_81","V2",54.9477089001661,1,0,1,0,1,1,0,1,1,0,1,0,0,1,7,7.03657575788413,0
"V2_User_82","V2",50.2681479530154,1,0,1,0,1,1,1,0,1,0,0,0,0,0,8,6.84873075910985,1
"V2_User_83","V2",50.1779459059939,1,0,1,1,1,1,1,1,1,1,1,1,0,1,7,8.86801428974686,0
"V2_User_84","V2",51.150694364473,0,0,0,0,1,1,1,1,1,0,1,1,1,0,9,6.55605208908682,1
"V2_User_85","V2",42.3827999887548,0,0,0,0,1,1,1,1,1,1,1,1,0,0,6,8.68967900067657,0
"V2_User_86","V2",35.309197012535,1,0,1,1,0,1,1,1,0,0,0,0,0,0,7,4.60925049086698,0
"V2_User_87","V2",57.9415512766842,1,0,1,0,1,1,1,0,1,1,1,1,0,0,9,5.46541176056999,0
"V2_User_88","V2",31.1505983817741,1,0,0,1,1,1,1,0,0,0,0,0,0,0,9,7.257983710808,0
"V2_User_89","V2",56.3532208917088,1,0,1,0,1,1,1,1,1,0,1,0,0,0,7,10.0265009449146,1
"V2_User_90","V2",46.2931268496318,1,0,0,0,1,0,1,1,1,0,0,1,0,0,5,7.74231123521293,0
"V2_User_91","V2",41.9481750767403,1,0,0,0,0,1,1,1,1,0,1,0,0,1,5,5.3212921405733,1
"V2_User_92","V2",47.1680220828574,1,0,0,1,1,0,1,0,0,0,0,0,0,0,6,8.80243848971743,0
"V2_User_93","V2",46.9986912164144,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,8.19851255499698,1
"V2_User_94","V2",49.3008622536277,0,0,1,1,1,0,1,1,1,0,1,1,1,0,10,7.66871014228297,1
"V2_User_95","V2",32.3026506899342,1,1,1,0,1,1,0,1,1,0,1,1,1,0,10,7.05209645936728,1
"V2_User_96","V2",53.9434662177947,1,0,1,1,1,1,1,0,0,0,0,0,0,0,7,10.5263814285785,0
"V2_User_97","V2",43.8041023204219,1,1,0,0,1,1,1,1,0,0,0,0,0,0,7,7.82664194948746,0
"V2_User_98","V2",35.3457392261929,0,1,1,1,0,0,1,1,1,0,0,0,0,0,6,9.85973906134426,1
"V2_User_99","V2",38.4094317982814,0,1,1,0,1,1,1,1,1,1,1,0,0,0,9,4.32913126419748,0
"V2_User_100","V2",45.0859235566867,1,0,0,1,0,1,0,1,0,0,0,0,0,0,12,7.49163818804703,0
